prodname,prodprice,url
Brazil Nuts,£4.99,https://www.nutriseed.co.uk/collections/nuts/products/brazil-nuts
Almond Butter,£11.99,https://www.nutriseed.co.uk/collections/nuts/products/almond-butter
Hazelnuts,£4.99,https://www.nutriseed.co.uk/collections/nuts/products/hazelnuts
Superfood Smoothie Bundle - 30 Day Supply,,https://www.nutriseed.co.uk/collections/chia-store/products/superfood-smoothie-bundle
"Chia Seeds, Organic, Vegan Friendly & Gluten Free",£6.99,https://www.nutriseed.co.uk/collections/chia-store/products/chia-seeds
Chia Cocoa,£8.99,https://www.nutriseed.co.uk/collections/chia-store/products/chia-cocoa
Seedy Snack Blend,£5.99,https://www.nutriseed.co.uk/collections/chia-store/products/seedy-snack-blend
Superfood Porridge,£9.99,https://www.nutriseed.co.uk/collections/chia-store/products/super-food-porridge
Chia Flax,£4.99,https://www.nutriseed.co.uk/collections/chia-store/products/chia-flax
Total Superfoods Capsules - 500mg,,https://www.nutriseed.co.uk/collections/chia-store/products/total-superfoods-capsules
Raw Organic Cacao Powder,£2.99,https://www.nutriseed.co.uk/collections/smoothies/products/nutriseed-cocoa-powder-1-5k-1
Weight Management Collection - 30 Day,£59.99,https://www.nutriseed.co.uk/collections/chia-store/products/weight-management-collection
"Chia Seeds, Organic, Vegan Friendly & Gluten Free",£6.99,https://www.nutriseed.co.uk/collections/smoothies/products/chia-seeds
